COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
GROVE PARK ELEMENTARY SCHOOL,Clay,0,0,0,0,0,,0,0,,0,8,5,2,0,1,6,2,0
HAILE ACADEMY OF HIGHER LEARNING,Clay,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
J.L. WILKINSON ELEMENTARY SCHOOL,Clay,0,0,0,0,0,,0,0,,0,14,9,2,0,3,4,5,5
KANVAS ACADEMY,Clay,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,0,1
KEYSTONE HEIGHTS ELEMENTARY,Clay,0,0,0,0,0,,0,0,,0,32,21,5,3,3,20,5,7
KEYSTONE HEIGHTS JUNIOR/SENIOR HIGH,Clay,1,0,1,0,0,,1,0,,0,66,58,4,2,2,40,7,19
LAKE ASBURY ELEMENTARY SCHOOL,Clay,1,1,0,0,0,,0,1,,0,28,19,7,0,2,15,4,9
LAKE ASBURY JUNIOR HIGH SCHOOL,Clay,1,1,0,0,0,,1,0,,0,51,41,5,4,1,34,8,9
LAKESIDE ELEMENTARY SCHOOL,Clay,0,0,0,0,0,,0,0,,0,20,16,3,1,0,11,2,7
LAKESIDE JUNIOR HIGH SCHOOL,Clay,1,1,0,0,0,,0,0,,1,36,33,2,1,0,20,7,9
LIGHTHOUSE CHRISTIAN SCHOOL ORANGE PARK,Clay,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
MCCRAE ELEMENTARY,Clay,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
MCRAE ELEMENTARY SCHOOL,Clay,1,1,0,0,0,,1,0,,0,16,8,5,2,1,11,4,1
MIDDLEBURG ELEMENTARY SCHOOL,Clay,0,0,0,0,0,,0,0,,0,13,8,2,0,3,8,2,3
MIDDLEBURG HIGH SCHOOL,Clay,1,1,0,0,0,,1,0,,0,96,81,3,5,7,61,9,26
MONTCLAIR ELEMENTARY SCHOOL,Clay,0,0,0,0,0,,0,0,,0,10,10,0,0,0,6,2,2
OAKLEAF HIGH SCHOOL,Clay,5,5,0,0,0,,5,0,,0,154,148,1,2,3,85,15,54
OAKLEAF JUNIOR HIGH,Clay,0,0,0,0,0,,0,0,,0,41,38,3,0,0,16,7,18
OAKLEAF VILLAGE ELEMENTARY SCHOOL,Clay,1,1,0,0,0,,0,0,,1,28,20,3,2,3,15,6,7
ORANGE PARK ELEMENTARY,Clay,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
ORANGE PARK ELEMENTARY SCHOOL,Clay,0,0,0,0,0,,0,0,,0,14,12,1,0,1,6,4,4
ORANGE PARK HIGH SCHOOL,Clay,2,2,0,0,0,,1,0,,1,78,75,2,0,1,42,5,31
ORANGE PARK JUNIOR HIGH SCHOOL,Clay,1,1,0,0,0,,1,0,,0,23,19,2,2,0,13,3,7
PACE CENTER FOR GIRLS CLAY,Clay,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
PALATKA HIGH SCHOOL,Clay,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
PINEWOOD CHRISTIAN ACADEMY,Clay,0,0,0,0,0,,0,0,,0,4,4,0,0,0,1,0,3
PLANTATION OAKS ELEMENTARY SCHOOL,Clay,1,1,0,0,0,,0,1,,0,39,28,4,4,3,22,7,10
COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
,,"Total
cases",,Role,,,,Symptoms,,,,"Total
cases",,Role,,,,Symptoms,
School,County,,Students,Teachers,Staff,Unknown,,Yes,No,,Unknown,,Students,Teachers,Staff,Unknown,Yes,No,Unknown
R. C. BANNERMAN LEARNING CENTER,Clay,0,0,0,0,0,,0,0,,0,13,11,1,0,1,7,0,6
RIDEOUT ELEMENTARY SCHOOL,Clay,1,1,0,0,0,,0,1,,0,23,16,6,0,1,17,3,3
RIDGEVIEW ELEMENTARY SCHOOL,Clay,2,2,0,0,0,,0,2,,0,26,21,4,0,1,8,12,6
RIDGEVIEW HIGH SCHOOL,Clay,0,0,0,0,0,,0,0,,0,94,88,5,1,0,59,11,24
ROBERT M. PATERSON ELEMENTARY,Clay,1,1,0,0,0,,1,0,,0,29,22,4,1,2,19,3,7
S BRYAN JENNINGS ELEMENTARY SCHOOL,Clay,0,0,0,0,0,,0,0,,0,9,6,2,1,0,6,2,1
SEAMARK RANCH INC.,Clay,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,0,1
SHADOWLAWN ELEMENTARY SCHOOL,Clay,0,0,0,0,0,,0,0,,0,25,20,2,1,2,15,1,9
ST JOHNS CLASSICAL ACADEMY,Clay,0,0,0,0,0,,0,0,,0,27,26,1,0,0,15,6,6
ST. JOHNS COUNTRY DAY SCHOOL,Clay,1,1,0,0,0,,0,0,,1,20,15,2,1,2,11,3,6
SWIMMING PEN CREEK ELEMENTARY SCHOOL,Clay,0,0,0,0,0,,0,0,,0,6,5,1,0,0,3,1,2
THE BROACH SCHOOL OF ORANGE PARK,Clay,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,0,1
THUNDERBOLT ELEMENTARY SCHOOL,Clay,2,2,0,0,0,,2,0,,0,36,28,5,1,2,17,6,13
TYNES ELEMENTARY SCHOOL,Clay,3,3,0,0,0,,0,1,,2,30,24,5,1,0,11,8,11
W E CHERRY ELEMENTARY SCHOOL,Clay,0,0,0,0,0,,0,0,,0,21,15,4,1,1,14,5,2
WILKINSON JUNIOR HIGH SCHOOL,Clay,0,0,0,0,0,,0,0,,0,28,22,3,3,0,15,5,8
ABLE ACADEMY,Collier,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
AVALON ELEMENTARY SCHOOL,Collier,1,1,0,0,0,,1,0,,0,10,10,0,0,0,7,2,1
BARRON COLLIER HIGH SCHOOL,Collier,0,0,0,0,0,,0,0,,0,116,109,2,3,2,97,16,3
BEACON HIGH SCHOOL,Collier,0,0,0,0,0,,0,0,,0,15,10,0,0,5,13,2,0
BIG CYPRESS ELEMENTARY SCHOOL,Collier,3,3,0,0,0,,1,1,,1,26,21,3,1,1,19,4,3
BRIDGEPREP ACADEMY COLLIER,Collier,0,0,0,0,0,,0,0,,0,11,10,1,0,0,5,6,0
CALUSA PARK ELEMENTARY SCHOOL,Collier,1,1,0,0,0,,0,1,,0,19,16,1,2,0,13,6,0
COLLIER CHARTER ACADEMY,Collier,0,0,0,0,0,,0,0,,0,22,20,0,2,0,17,3,2
COLLIER DISTRICT OFFICE,Collier,1,0,0,1,0,,0,1,,0,1,0,0,1,0,0,1,0
COLLIER JUVENILE DETENTION CENTER,Collier,0,0,0,0,0,,0,0,,0,2,2,0,0,0,1,0,1
COMMUNITY SCHOOL OF NAPLES,Collier,0,0,0,0,0,,0,0,,0,42,32,6,0,4,34,7,1
CORKSCREW ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,23,16,4,1,2,16,4,3
CORKSCREW MIDDLE SCHOOL,Collier,0,0,0,0,0,,0,0,,0,41,38,2,0,1,32,5,4
CYPRESS PALM MIDDLE SCHOOL,Collier,0,0,0,0,0,,0,0,,0,23,21,0,2,0,18,4,1
EAST NAPLES MIDDLE SCHOOL,Collier,2,2,0,0,0,,1,1,,0,36,32,1,1,2,29,5,2
EDEN PARK ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,26,25,0,0,1,18,8,0
EDUCATIONAL PATHWAYS ACADEMY,Collier,0,0,0,0,0,,0,0,,0,6,5,0,1,0,3,2,1
ES INTERNATIONAL SCHOOL,Collier,0,0,0,0,0,,0,0,,0,5,5,0,0,0,3,2,0
ESTATES ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,30,25,2,0,3,22,7,1
EVERGLADES CITY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,10,4,3,2,1,10,0,0
FIRST BAPTIST ACADEMY,Collier,1,1,0,0,0,,1,0,,0,15,12,1,1,1,14,0,1
GOLDEN GATE ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,27,22,1,1,3,17,8,2
GOLDEN GATE HIGH SCHOOL,Collier,2,2,0,0,0,,2,0,,0,70,67,1,1,1,57,9,4
GOLDEN GATE MIDDLE SCHOOL,Collier,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
GOLDEN GATE MIDDLE SCHOOL,Collier,1,1,0,0,0,,1,0,,0,30,26,2,1,1,24,4,2
GOLDEN TERRACE ELEMENTARY SCHOOL,Collier,1,1,0,0,0,,1,0,,0,11,6,2,2,1,10,1,0
GULF COAST CHARTER ACADEMY SOUTH,Collier,0,0,0,0,0,,0,0,,0,29,23,1,0,5,20,8,1
GULF COAST HIGH SCHOOL,Collier,0,0,0,0,0,,0,0,,0,108,99,2,2,5,81,18,9
GULFVIEW MIDDLE SCHOOL,Collier,1,1,0,0,0,,0,1,,0,17,16,1,0,0,12,3,2
COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
,,"Total
cases",,Role,,,,Symptoms,,,,"Total
cases",,Role,,,,Symptoms,
School,County,,Students,Teachers,Staff,Unknown,,Yes,No,,Unknown,,Students,Teachers,Staff,Unknown,Yes,No,Unknown
HERBERT CAMBRIDGE ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,2,2,0,0,0,2,0,0
HIGHLANDS ELEMENTARY SCHOOL,Collier,1,1,0,0,0,,1,0,,0,21,14,3,0,4,12,8,1
IMMOKALEE COMMUNITY SCHOOL,Collier,1,1,0,0,0,,1,0,,0,19,15,2,1,1,9,8,2
IMMOKALEE HIGH SCHOOL,Collier,1,1,0,0,0,,1,0,,0,94,83,3,5,3,69,18,7
IMMOKALEE MIDDLE SCHOOL,Collier,5,5,0,0,0,,4,1,,0,63,46,8,5,4,43,15,5
IMMOKALEE TECHNICAL COLLEGE,Collier,1,0,0,1,0,,1,0,,0,7,6,0,1,0,5,0,2
LAKE PARK ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,23,18,3,1,1,14,8,1
LAKE TRAFFORD ELEMENTARY SCHOOL,Collier,1,1,0,0,0,,1,0,,0,30,21,2,1,6,22,6,2
LAUREL OAK ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,25,21,3,0,1,18,7,0
LELY ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,11,9,1,1,0,9,1,1
LELY HIGH SCHOOL,Collier,5,5,0,0,0,,5,0,,0,71,62,2,4,3,56,10,5
LORENZO WALKER TECHNICAL COLLEGE,Collier,0,0,0,0,0,,0,0,,0,17,14,2,0,1,16,1,0
LORENZO WALKER TECHNICAL HIGH SCHOOL,Collier,1,1,0,0,0,,1,0,,0,22,17,1,1,3,17,2,3
MANATEE ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,16,6,3,1,6,16,0,0
MANATEE MIDDLE SCHOOL,Collier,0,0,0,0,0,,0,0,,0,37,30,2,2,3,26,9,2
MARCO ISLAND ACADEMY,Collier,3,3,0,0,0,,3,0,,0,13,11,1,0,1,10,3,0
MARCO ISLAND CHARTER MIDDLE,Collier,0,0,0,0,0,,0,0,,0,9,8,0,0,1,7,2,0
MASON CLASSICAL ACADEMY,Collier,0,0,0,0,0,,0,0,,0,29,25,2,1,1,26,3,0
MIKE DAVIS ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,23,15,3,0,5,18,4,1
MONTESSORI ACADEMY OF NAPLES,Collier,0,0,0,0,0,,0,0,,0,6,3,2,0,1,4,2,0
NAPLES CHRISTIAN ACADEMY,Collier,0,0,0,0,0,,0,0,,0,7,5,2,0,0,7,0,0
NAPLES HIGH SCHOOL,Collier,0,0,0,0,0,,0,0,,0,2,0,0,0,2,2,0,0
NAPLES HIGH SCHOOL,Collier,2,2,0,0,0,,2,0,,0,71,65,2,1,3,65,3,3
NAPLES HIGH SCHOOL TEACHER AND BASKETBALL COACH,Collier,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
NAPLES PARK ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,7,4,2,0,1,6,1,0
NEW BEGINNINGS - NAPLES,Collier,0,0,0,0,0,,0,0,,0,2,2,0,0,0,2,0,0
NEW BEGINNINGS IMMOKALEE,Collier,0,0,0,0,0,,0,0,,0,2,0,1,0,1,2,0,0
NICAEA ACADEMY INC.,Collier,0,0,0,0,0,,0,0,,0,4,4,0,0,0,4,0,0
NORTH NAPLES MIDDLE SCHOOL,Collier,2,1,0,0,1,,1,0,,1,26,22,1,1,2,18,7,1
OAKRIDGE MIDDLE SCHOOL,Collier,0,0,0,0,0,,0,0,,0,48,43,0,2,3,31,11,6
OSCEOLA ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,24,19,2,1,2,16,7,1
PALMETTO ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,13,10,0,2,1,8,4,1
PALMETTO RIDGE HIGH SCHOOL,Collier,2,2,0,0,0,,2,0,,0,127,111,4,5,7,95,20,12
PARKSIDE ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,20,15,3,1,1,14,5,1
PELICAN MARSH ELEMENTARY SCHOOL,Collier,2,2,0,0,0,,2,0,,0,18,15,1,0,2,14,4,0
PINE RIDGE MIDDLE SCHOOL,Collier,1,1,0,0,0,,1,0,,0,37,34,3,0,0,30,4,3
PINECREST ELEMENTARY SCHOOL,Collier,1,1,0,0,0,,0,1,,0,10,9,0,1,0,8,1,1
POINCIANA ELEMENTARY SCHOOL,Collier,2,2,0,0,0,,1,1,,0,19,16,0,0,3,13,4,2
PRECIOUS CARGO ACADEMY,Collier,0,0,0,0,0,,0,0,,0,2,1,0,0,1,1,1,0
RHODORA J. DONAHUE ACADEMY,Collier,0,0,0,0,0,,0,0,,0,3,3,0,0,0,3,0,0
ROYAL PALM ACADEMY,Collier,0,0,0,0,0,,0,0,,0,4,3,0,0,1,3,1,0
SABAL PALM ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,11,7,0,1,3,10,1,0
SAINT ANN SCHOOL,Collier,0,0,0,0,0,,0,0,,0,9,8,1,0,0,5,2,2
SAINT ELIZABETH ANN SETON,Collier,0,0,0,0,0,,0,0,,0,9,8,0,0,1,7,2,0
SAINT JOHN NEUMANN CATHOLIC HIGH SCHOOL INC.,Collier,0,0,0,0,0,,0,0,,0,14,14,0,0,0,11,3,0
COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
,,"Total
cases",,Role,,,,Symptoms,,,,"Total
cases",,Role,,,,Symptoms,
School,County,,Students,Teachers,Staff,Unknown,,Yes,No,,Unknown,,Students,Teachers,Staff,Unknown,Yes,No,Unknown
SEA GATE ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,21,15,3,0,3,17,2,2
SEACREST COUNTRY DAY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,22,16,4,1,1,16,2,4
SHADOWLAWN ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,11,6,2,1,2,10,0,1
SPARK HYBRID EDUCATION CENTER,Collier,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
THE PHOENIX PROGRAM NAPLES,Collier,0,0,0,0,0,,0,0,,0,2,1,0,0,1,2,0,0
THE VILLAGE SCHOOL,Collier,0,0,0,0,0,,0,0,,0,18,12,2,0,4,15,3,0
TOMMIE BARFIELD ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,14,11,1,0,2,11,2,1
VETERANS MEMORIAL ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,25,18,3,1,3,21,4,0
VILLAGE OAKS ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,13,9,1,0,3,9,4,0
VINEYARDS ELEMENTARY SCHOOL,Collier,0,0,0,0,0,,0,0,,0,20,18,0,2,0,13,4,3
WAVES OF WONDER MONTESSORI SCHOOL,Collier,0,0,0,0,0,,0,0,,0,4,1,0,1,2,4,0,0
BEHAVIORAL LEARNING ACADEMY,Columbia,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
BELMONT ACADEMY,Columbia,1,0,0,0,1,,1,0,,0,24,16,5,1,2,21,3,0
CAMBRIDGE PREP ACADEMY INC.,Columbia,0,0,0,0,0,,0,0,,0,30,25,0,1,4,25,5,0
COLUMBIA CITY ELEMENTARY SCHOOL,Columbia,0,0,0,0,0,,0,0,,0,14,11,1,1,1,7,6,1
COLUMBIA DISTRICT OFFICE,Columbia,0,0,0,0,0,,0,0,,0,5,1,0,0,4,5,0,0
COLUMBIA HIGH SCHOOL,Columbia,0,0,0,0,0,,0,0,,0,135,121,6,1,7,104,25,6
COVENANT COMMUNITY SCHOOL,Columbia,0,0,0,0,0,,0,0,,0,6,5,1,0,0,5,0,1
EASTSIDE ELEMENTARY SCHOOL,Columbia,1,1,0,0,0,,1,0,,0,34,23,3,2,6,22,11,1
EPIPHANY CATHOLIC SCHOOL,Columbia,0,0,0,0,0,,0,0,,0,7,4,0,0,3,5,2,0
FAITH ACADEMY,Columbia,0,0,0,0,0,,0,0,,0,1,0,0,1,0,1,0,0
FIRST ACADEMY,Columbia,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
FIVE POINTS ELEMENTARY SCHOOL,Columbia,1,1,0,0,0,,1,0,,0,18,11,1,1,5,14,3,1
FORT WHITE ELEMENTARY SCHOOL,Columbia,0,0,0,0,0,,0,0,,0,14,11,1,0,2,9,5,0
FORT WHITE HIGH SCHOOL,Columbia,0,0,0,0,0,,0,0,,0,75,68,2,1,4,51,21,3
HART 2 HART ACADEMY INC,Columbia,0,0,0,0,0,,0,0,,0,3,2,0,0,1,3,0,0
HART 2 HART CHRISTIAN ACADEMY,Columbia,0,0,0,0,0,,0,0,,0,4,4,0,0,0,3,1,0
LAKE CITY CHRISTIAN ACADEMY,Columbia,0,0,0,0,0,,0,0,,0,6,4,0,0,2,5,1,0
LAKE CITY MIDDLE SCHOOL,Columbia,0,0,0,0,0,,0,0,,0,62,54,1,0,7,47,12,3
MELROSE PARK ELEMENTARY SCHOOL,Columbia,0,0,0,0,0,,0,0,,0,22,19,1,0,2,13,9,0
NEW GENERATION CHRISTIAN MINISTRIES,Columbia,1,1,0,0,0,,1,0,,0,10,9,1,0,0,4,6,0
NIBLACK ELEMENTARY SCHOOL,Columbia,0,0,0,0,0,,0,0,,0,24,16,1,7,0,15,9,0
PATHWAYS ACADEMY,Columbia,0,0,0,0,0,,0,0,,0,4,1,1,0,2,4,0,0
PINEMOUNT ELEMENTARY SCHOOL,Columbia,0,0,0,0,0,,0,0,,0,17,7,4,1,5,15,2,0
RICHARDSON SIXTH GRADE ACADEMY,Columbia,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,1,0
RICHARDSON SIXTH GRADE ACADEMY,Columbia,0,0,0,0,0,,0,0,,0,18,15,1,0,2,13,4,1
SUMMERS ELEMENTARY SCHOOL,Columbia,0,0,0,0,0,,0,0,,0,13,10,2,1,0,10,3,0
WESTSIDE ELEMENTARY SCHOOL,Columbia,0,0,0,0,0,,0,0,,0,13,7,3,0,3,10,3,0
 IRVING & BEATRICE PESKOE K-8 CENTER,Dade,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
ABC ACADEMY,Dade,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,1,0
ABF LEARNING CENTER,Dade,0,0,0,0,0,,0,0,,0,3,3,0,0,0,2,1,0
ACADEMIR CHARTER SCHOOL MIDDLE,Dade,0,0,0,0,0,,0,0,,0,27,24,1,0,2,6,19,2
ACADEMIR CHARTER SCHOOL OF MATH & SCIENCE,Dade,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
ACADEMIR CHARTER SCHOOL OF MATH AND SCIENCE,Dade,0,0,0,0,0,,0,0,,0,3,3,0,0,0,0,1,2
ACADEMIR CHARTER SCHOOL PREPARATORY,Dade,1,1,0,0,0,,0,1,,0,41,39,0,1,1,14,19,8
COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
,,"Total
cases",,Role,,,,Symptoms,,,,"Total
cases",,Role,,,,Symptoms,
School,County,,Students,Teachers,Staff,Unknown,,Yes,No,,Unknown,,Students,Teachers,Staff,Unknown,Yes,No,Unknown
ACADEMIR CHARTER SCHOOL WEST,Dade,3,2,1,0,0,,1,2,,0,53,48,5,0,0,17,25,11
ACADEMIR PREPARATORY ACADEMY,Dade,0,0,0,0,0,,0,0,,0,24,21,2,1,0,8,13,3
ACADEMY FOR INTERNATIONAL EDUCATION CHARTER SCHOO,Dade,0,0,0,0,0,,0,0,,0,37,34,1,1,1,14,15,8
ACADEMY FOR INTERNATIONAL EDUCATION UPPER CHARTER,Dade,0,0,0,0,0,,0,0,,0,5,4,0,1,0,2,3,0
ACADEMY FOR YOUNG LEARNERS INC.,Dade,0,0,0,0,0,,0,0,,0,12,10,0,0,2,6,6,0
ACADEMY OF EXCELLENCE,Dade,0,0,0,0,0,,0,0,,0,6,5,0,1,0,4,2,0
ACCELERATION ACADEMIES LLC,Dade,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,1,0
ACE ACADEMY,Dade,0,0,0,0,0,,0,0,,0,1,0,0,0,1,0,0,1
ACE ACADEMY SCHOOL,Dade,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
ACE ACADEMY SOUTH,Dade,0,0,0,0,0,,0,0,,0,7,2,2,0,3,2,0,5
ACTON ACADEMY CENTRAL MIAMI,Dade,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
ADA MERRITT K-8 CENTER,Dade,0,0,0,0,0,,0,0,,0,36,35,1,0,0,16,20,0
ADVANCE ACHIEVERS ACADEMY,Dade,0,0,0,0,0,,0,0,,0,5,5,0,0,0,3,2,0
AGENORIA S PASCHAL/OLINDA ELEMENTARY SCHOOL,Dade,0,0,0,0,0,,0,0,,0,4,4,0,0,0,3,1,0
AIR BASE K-8 CENTER FOR INTERNATIONAL EDUCATION,Dade,0,0,0,0,0,,0,0,,0,33,29,1,0,3,25,8,0
ALEXANDER MONTESSORI SCHOOL,Dade,0,0,0,0,0,,0,0,,0,4,3,0,0,1,3,1,0
"ALEXANDER SCHOOL, INC.",Dade,0,0,0,0,0,,0,0,,0,5,4,1,0,0,4,1,0
"ALEXANDER SCHOOL, INC.",Dade,0,0,0,0,0,,0,0,,0,7,5,1,1,0,2,2,3
"ALEXANDER SCHOOL, INC. 1ST CAMPUS",Dade,0,0,0,0,0,,0,0,,0,2,1,1,0,0,2,0,0
ALL ANGELS ACADEMY,Dade,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
ALL STARS EDUCATION ACADEMY,Dade,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
ALLAPATTAH WYNWOOD CHILDCARE SCHOOL,Dade,2,2,0,0,0,,2,0,,0,3,3,0,0,0,3,0,0
ALLISON ACADEMY,Dade,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,1,0
ALONZO & TRACY MOURNING SENIOR HIGH SCHOOL,Dade,1,1,0,0,0,,0,1,,0,35,35,0,0,0,29,5,1
ALPHA CHARTER OF EXCELLENCE,Dade,0,0,0,0,0,,0,0,,0,5,4,0,1,0,2,1,2
ALTERNATIVE OUTREACH PROGRAM,Dade,0,0,0,0,0,,0,0,,0,1,0,0,1,0,1,0,0
AMAZING LEARNING ACADEMY II,Dade,0,0,0,0,0,,0,0,,0,2,2,0,0,0,2,0,0
AMELIA EARHART ELEMENTARY SCHOOL,Dade,0,0,0,0,0,,0,0,,0,11,6,1,1,3,8,3,0
AMERICA'S CHRISTIAN FUTURE PRESCHOOL ELEM,Dade,0,0,0,0,0,,0,0,,0,7,4,1,0,2,6,1,0
AMERICA'S LITTLE LEADERS ACADEMY,Dade,0,0,0,0,0,,0,0,,0,1,0,1,0,0,1,0,0
AMERICAN ACADEMY OF PINECREST,Dade,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
AMERICAN CHRISTIAN SCHOOL ART CENTER,Dade,0,0,0,0,0,,0,0,,0,4,3,0,0,1,1,3,0
AMERICAN HIGH SCHOOL ACADEMY INC.,Dade,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
AMERICAN SENIOR HIGH ADULT EDUCATION,Dade,0,0,0,0,0,,0,0,,0,4,3,0,0,1,4,0,0
AMERICAN SENIOR HIGH SCHOOL,Dade,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
AMERICAN SENIOR HIGH SCHOOL,Dade,0,0,0,0,0,,0,0,,0,43,34,1,2,6,29,13,1
AMIKIDS MIAMI-DADE NORTH,Dade,0,0,0,0,0,,0,0,,0,1,0,1,0,0,1,0,0
ANDOVER MIDDLE SCHOOL,Dade,0,0,0,0,0,,0,0,,0,8,5,1,0,2,6,2,0
ANDREA CASTILLA PREP K-8,Dade,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
ANGELS REACH ACADEMY FOR DIVERGENT LEARNERS,Dade,0,0,0,0,0,,0,0,,0,3,3,0,0,0,3,0,0
APPLE LEARNING CENTER,Dade,0,0,0,0,0,,0,0,,0,3,3,0,0,0,2,1,0
ARCADIA ACADEMY,Dade,0,0,0,0,0,,0,0,,0,3,3,0,0,0,0,3,0
ARCHBISHOP COLEMAN F. CARROLL HIGH,Dade,0,0,0,0,0,,0,0,,0,5,3,0,0,2,5,0,0
ARCHCREEK ELEMENTARY SCHOOL,Dade,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,1,0
ARCHIMEDEAN ACADEMY,Dade,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
,,"Total
cases",,Role,,,,Symptoms,,,,"Total
cases",,Role,,,,Symptoms,
School,County,,Students,Teachers,Staff,Unknown,,Yes,No,,Unknown,,Students,Teachers,Staff,Unknown,Yes,No,Unknown
ARCHIMEDEAN ACADEMY,Dade,0,0,0,0,0,,0,0,,0,69,52,10,5,2,26,28,15
